Rangecard Export (Hornady ELD Match 0.264 140gr)
MV [M/S],842.0,BW [GR],140.0,BD [CM],0.671,BC [CDM],1.000
Wind Speed [M/S],0.0,Wind Speed 2 [M/S],3.0,TEMP [°C],12,Pressure [MBAR],999
Humidity [%],76,Inclination [°],0,Heading [°],255,Wind Direction,12:00
Target Speed [M/S],0.0,Target Direction,Left To Right
Range [M],Elevation [MRAD],Windage [MRAD],Windage 2 [MRAD],Lead [MRAD],ToF [SEC],Energy [J],Velocity [M/S],Mach
200,0.46 U,0.03 L,0.03 L,0.00 L,0.25,2498,742.0,2.19 
225,0.63 U,0.03 L,0.03 L,0.00 L,0.29,2418,730.0,2.16 
250,0.82 U,0.04 L,0.04 L,0.00 L,0.32,2339,718.0,2.12 
275,1.01 U,0.04 L,0.04 L,0.00 L,0.36,2263,706.2,2.09 
300,1.21 U,0.05 L,0.05 L,0.00 L,0.39,2188,694.4,2.05 
325,1.42 U,0.06 L,0.06 L,0.00 L,0.43,2115,682.8,2.02 
350,1.64 U,0.07 L,0.07 L,0.00 L,0.47,2044,671.2,1.98 
375,1.87 U,0.07 L,0.07 L,0.00 L,0.50,1975,659.7,1.95 
400,2.10 U,0.08 L,0.08 L,0.00 L,0.54,1906,648.2,1.91 
425,2.34 U,0.09 L,0.09 L,0.00 L,0.58,1839,636.7,1.88 
450,2.59 U,0.10 L,0.10 L,0.00 L,0.62,1773,625.2,1.85 
475,2.85 U,0.10 L,0.10 L,0.00 L,0.66,1709,613.7,1.81 
500,3.11 U,0.11 L,0.11 L,0.00 L,0.70,1646,602.3,1.78 
525,3.38 U,0.12 L,0.12 L,0.00 L,0.74,1585,591.0,1.75 
550,3.66 U,0.13 L,0.13 L,0.00 L,0.79,1525,579.8,1.71 
575,3.94 U,0.14 L,0.14 L,0.00 L,0.83,1467,568.6,1.68 
600,4.24 U,0.14 L,0.14 L,0.00 L,0.87,1411,557.6,1.65 
